order,role,framerTarget,hash,name,kind,originalWidth,originalHeight,originalBytes,sourcePath,optimizedPath,optimizedBytes,optimizedWidth,optimizedHeight,uploadToFramerThenReplace
11,interior spread,SeekTruthCargoSlideshow / interior grid,Q1556900886880097011890754147861,Untitled-5.png,image,1666,1250,1997186,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/Q1556900886880097011890754147861__Untitled-5.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/Q1556900886880097011890754147861__Untitled-5.webp,176204,1666,1250,
12,interior spread,SeekTruthCargoSlideshow / interior grid,D1558959138760264532516118189589,Open-Pages---Portrait.png,image,4400,3300,11450753,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/D1558959138760264532516118189589__Open-Pages---Portrait.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/D1558959138760264532516118189589__Open-Pages---Portrait.webp,201668,1800,1350,
13,interior spread,SeekTruthCargoSlideshow / interior grid,J1558962392839706111175861458453,Open-Pages---Portrait-3.png,image,4400,3300,9264397,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/J1558962392839706111175861458453__Open-Pages---Portrait-3.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/J1558962392839706111175861458453__Open-Pages---Portrait-3.webp,172484,1800,1350,
14,interior spread,SeekTruthCargoSlideshow / interior grid,B1556789805420332080282825119253,Open-Pages---Portrait-5.png,image,4400,3300,17591990,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/B1556789805420332080282825119253__Open-Pages---Portrait-5.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/B1556789805420332080282825119253__Open-Pages---Portrait-5.webp,228260,1800,1350,
15,interior spread,SeekTruthCargoSlideshow / interior grid,E1558965353449896221190348068373,Open-Pages---Portrait-5.png,image,4400,3300,8235053,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/E1558965353449896221190348068373__Open-Pages---Portrait-5.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/E1558965353449896221190348068373__Open-Pages---Portrait-5.webp,137906,1800,1350,
16,interior spread,SeekTruthCargoSlideshow / interior grid,M1556789805531012544725082428949,Open-Pages---Portrait-11.png,image,4400,3300,7706741,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/M1556789805531012544725082428949__Open-Pages---Portrait-11.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/M1556789805531012544725082428949__Open-Pages---Portrait-11.webp,172098,1800,1350,
17,interior spread,SeekTruthCargoSlideshow / interior grid,V1556789805549459288798791980565,Open-Pages---Portrait-12.png,image,4400,3300,10733387,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/V1556789805549459288798791980565__Open-Pages---Portrait-12.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/V1556789805549459288798791980565__Open-Pages---Portrait-12.webp,200266,1800,1350,
18,interior spread,SeekTruthCargoSlideshow / interior grid,V1556789805567906032872501532181,Open-Pages---Portrait-13.png,image,4400,3300,8218639,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/V1556789805567906032872501532181__Open-Pages---Portrait-13.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/V1556789805567906032872501532181__Open-Pages---Portrait-13.webp,148314,1800,1350,
19,interior spread,SeekTruthCargoSlideshow / interior grid,Q1556789805438778824356534670869,Open-Pages---Portrait-6.png,image,4400,3300,9320050,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/Q1556789805438778824356534670869__Open-Pages---Portrait-6.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/Q1556789805438778824356534670869__Open-Pages---Portrait-6.webp,168004,1800,1350,
20,interior spread,SeekTruthCargoSlideshow / interior grid,D1556789805586352776946211083797,Open-Pages---Portrait-14.png,image,4400,3300,11366553,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/D1556789805586352776946211083797__Open-Pages---Portrait-14.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/D1556789805586352776946211083797__Open-Pages---Portrait-14.webp,322360,1800,1350,
21,interior spread,SeekTruthCargoSlideshow / interior grid,U1556789805604799521019920635413,Open-Pages---Portrait-15.png,image,4400,3300,10638050,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/U1556789805604799521019920635413__Open-Pages---Portrait-15.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/U1556789805604799521019920635413__Open-Pages---Portrait-15.webp,177398,1800,1350,
22,interior spread,SeekTruthCargoSlideshow / interior grid,F1556789805623246265093630187029,Open-Pages---Portrait-16.png,image,4400,3300,11456755,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/F1556789805623246265093630187029__Open-Pages---Portrait-16.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/F1556789805623246265093630187029__Open-Pages---Portrait-16.webp,160478,1800,1350,
23,interior spread,SeekTruthCargoSlideshow / interior grid,E1556789805641693009167339738645,Open-Pages---Portrait-17.png,image,4400,3300,9092989,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/E1556789805641693009167339738645__Open-Pages---Portrait-17.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/E1556789805641693009167339738645__Open-Pages---Portrait-17.webp,192010,1800,1350,
24,interior spread,SeekTruthCargoSlideshow / interior grid,V1556789805660139753241049290261,Open-Pages---Portrait-18.png,image,4400,3300,15974664,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/V1556789805660139753241049290261__Open-Pages---Portrait-18.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/V1556789805660139753241049290261__Open-Pages---Portrait-18.webp,764012,1800,1350,
25,interior spread,SeekTruthCargoSlideshow / interior grid,S1556897284729041506405481436693,Untitled-4.png,image,1666,1250,1799896,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/S1556897284729041506405481436693__Untitled-4.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/S1556897284729041506405481436693__Untitled-4.webp,243204,1666,1250,
26,interior spread,SeekTruthCargoSlideshow / interior grid,Y1556789805678586497314758841877,Open-Pages---Portrait-19.png,image,4400,3300,16487850,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/source/Y1556789805678586497314758841877__Open-Pages---Portrait-19.png,/Users/micahhoang/My Drive/Portfolio 2026/case-study-assets/seek-truth/optimized/Y1556789805678586497314758841877__Open-Pages---Portrait-19.webp,212776,1800,1350,
